x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
0.0,1400.0,0.22,1.0704926255313575e-05,7.042788496094869e-07,0.898763785156613,5.370088424232083e-10,0.01
200.0,1400.0,0.24,1.8079242091389162e-05,1.2812303507307358e-06,0.9985447639641327,9.464978048305982e-10,0.0
400.0,1450.0,0.24,1.6655782429681462e-05,1.1947867667234632e-06,0.9960907267160285,7.875402089484057e-10,0.0
350.0,1300.0,0.22,2.4552965688472497e-05,1.6222073415419155e-06,0.9999941466230687,9.635824604573168e-10,0.0
400.0,1200.0,0.2,2.507127557224514e-05,1.5598319409129907e-06,0.9999964992912157,6.397844300288484e-10,0.0
350.0,1100.0,0.19,2.5152175364006698e-05,1.5274458204346039e-06,0.9999967723277433,3.5182077767482626e-10,0.0
350.0,1000.0,0.19,2.441251115704363e-05,1.4659677071333347e-06,0.9999932841488549,1.4397536353126977e-10,0.0
350.0,850.0,0.19,2.3448094004273312e-05,1.4029084881863278e-06,0.9999831057423255,5.721613341643536e-11,0.0
400.0,800.0,0.19,2.3976602586843917e-05,1.4284934451229627e-06,0.9999897626911276,1.1921872290393408e-10,0.0
450.0,650.0,0.18,2.4175698942596852e-05,1.4120200353464394e-06,0.9999915477343341,3.6121903921940375e-10,0.0
450.0,550.0,0.18,2.4347806611706995e-05,1.3906456191692855e-06,0.9999928470380676,4.754270003003184e-10,0.0
450.0,450.0,0.17,2.393249310174511e-05,1.3358745654503754e-06,0.9999893210555211,5.753498365389959e-10,0.0
450.0,300.0,0.17,2.4164898362652766e-05,1.3286302877664443e-06,0.9999914590749199,6.241632901876297e-10,0.0
450.0,200.0,0.17,2.369356853652508e-05,1.302232574414392e-06,0.9999865941010444,5.797101639127693e-10,0.0
450.0,100.0,0.17,1.95891396046763e-05,1.08026054564897e-06,0.9995330535259316,4.5548945797696636e-10,0.0
650.0,100.0,0.15,2.083179137375757e-05,1.0819694238367789e-06,0.9998288847029837,8.59084596740199e-10,0.0
850.0,100.0,0.13,2.4433079515947227e-05,1.15483453715016e-06,0.9999934176539871,1.9533533250843136e-09,0.0
850.0,200.0,0.13,3.0526934430813534e-05,1.415189459399602e-06,0.9999999918461888,2.431107075852372e-09,0.0
850.0,300.0,0.13,3.276367083320217e-05,1.522358312797064e-06,0.9999999995184828,3.1103350812667996e-09,0.0
850.0,400.0,0.14,3.320346656540584e-05,1.6254099469349562e-06,0.9999999997303545,4.515020645016787e-09,0.0
850.0,500.0,0.16,3.342558274195405e-05,1.8075479636467997e-06,0.9999999997993969,6.920713561768984e-09,0.0
800.0,600.0,0.17,3.107158406094466e-05,1.766090208420884e-06,0.9999999958297973,7.310227637383071e-09,0.0
850.0,650.0,0.2,3.188206119882618e-05,1.954224351528652e-06,0.9999999984958443,1.1476824677883539e-08,0.0
850.0,750.0,0.2,2.886510041607695e-05,1.7795044992384872e-06,0.9999999413790185,1.2527079486358694e-08,0.0
800.0,900.0,0.16,2.6161267762196346e-05,1.3797735502517072e-06,0.999998853299519,6.0497313059242625e-09,0.0
800.0,1000.0,0.16,2.7941118003189396e-05,1.4815858142538618e-06,0.9999998326455362,3.819270910255145e-09,0.0
